Name,PopID,Location,Region,RegionID,N_Male,N_Female,N,Geo.dist(km),Order(EffectSizeFile),Ne(autosome),se.Ne(autosome),Ne(Pval),cor(Ne),Ne(ChrX),Ne(Conrad et al),BranchLenght_NJ,BranchLength_ML,N(HWE.p<001),N(HWE.p<01),P<0.01.HighHet,P<0.01.LowHet,c1,c2,c3,c4,c5,c6,c7,Admix_index,MeanSNPHet,Mean.IBS,MeanHaploHet
San,1,Namibia,Africa,1,5,,5,3872,39,6161,327,9.58E-14,0.82,2306,6268,0.141,0.024,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.80,0.69
BiakaPygmies,2,CentralAfricanRepublic,Africa,1,22,,22,2385,5,8398,458,1.55E-13,0.78,4260,7469,0.070,0.024,144,1972,327,1645,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.77,0.82
MbutiPygmies,3,Congo,Africa,1,11,2,13,1335,25,6325,455,2.07E-11,0.57,3266,7609,0.104,0.031,47,1119,165,954,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.79,0.76
Bantu,4,Kenya/South Africa,Africa,1,18,1,19,2730,3,11303,592,7.47E-14,0.80,8816,12559,0.038,0.027,181,1708,216,1492,0.98,0.02,0.00,0.00,0.00,0.00,0.00,-0.04,0.30,0.75,0.82
Mandenka,5,Senegal,Africa,1,15,7,22,5470,23,10540,431,8.10E-16,0.89,6197,13082,0.044,0.032,150,2032,370,1662,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.76,0.81
Yoruba,6,Nigeria,Africa,1,11,10,21,3630,51,9960,317,7.46E-18,0.93,7056,12968,0.046,0.030,114,2064,315,1749,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.76,0.81
Bedouin,7,Israel-Negev,Middle East,2,26,19,45,2845,4,9002,478,1.02E-09,0.91,5254,8428,0.128,0.078,570,4914,340,4574,0.01,0.74,0.00,0.07,0.00,0.19,0.00,-0.33,0.29,0.74,0.78
Druze,8,Israel-Carmel,Middle East,2,12,30,42,2887,12,7006,387,4.51E-10,0.85,5077,7524,0.128,0.080,346,3461,295,3166,0.00,0.34,0.00,0.14,0.00,0.52,0.00,-0.43,0.29,0.75,0.77
Mozabite,9,Algeria-Mzab,Middle East,2,19,8,27,4418,28,7014,239,2.71E-17,0.91,3885,6839,0.088,0.066,205,2414,511,1903,0.12,0.62,0.00,0.00,0.00,0.26,0.00,-0.39,0.31,0.74,0.78
Palestinian,10,Israel-Central,Middle East,2,16,30,46,2887,34,9505,558,5.91E-07,0.91,5697,9014,0.123,0.077,350,3591,529,3062,0.00,0.49,0.00,0.13,0.00,0.37,0.00,-0.44,0.30,0.74,0.77
Tuscan,11,Italy,Europe,3,5,2,7,5118,46,5094,266,7.13E-14,0.76,2681,6350,0.154,0.091,0,0,0,0,0.00,0.03,0.00,0.03,0.00,0.95,0.00,-0.11,0.30,0.75,0.70
Sardinian,12,Italy,Europe,3,16,12,28,5306,40,6624,275,1.08E-15,0.86,4969,7220,0.140,0.086,206,2388,391,1997,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-0.01,0.30,0.75,0.74
Italian,13,Italy-Bergamo,Europe,3,7,5,12,5249,31,6739,249,1.21E-16,0.89,3521,8844,0.142,0.087,64,986,33,953,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-0.01,0.30,0.75,0.72
French,14,France,Europe,3,12,16,28,5857,13,8677,280,9.58E-18,0.92,5058,9298,0.129,0.083,177,2407,383,2024,0.00,0.00,0.00,0.00,0.00,0.99,0.00,-0.02,0.30,0.75,0.74
Basque,15,France,Europe,3,16,8,24,6012,14,6137,208,2.52E-17,0.91,3936,6494,0.140,0.087,107,1811,191,1620,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.30,0.76,0.73
Orcadian,16,OrkneyIslands,Europe,3,7,8,15,6637,32,5379,267,2.71E-14,0.81,3208,5364,0.140,0.089,93,1415,358,1057,0.00,0.00,0.00,0.00,0.00,0.99,0.00,-0.02,0.30,0.75,0.72
Russian,17,NorthWestern Russia,Europe,3,16,9,25,6067,38,7034,316,4.41E-15,0.83,5128,9576,0.122,0.086,144,1700,484,1216,0.00,0.00,0.00,0.05,0.06,0.86,0.03,-0.24,0.30,0.75,0.75
Adygei,18,Russia-Caucasus,Europe,3,7,10,17,4155,1,6699,174,1.71E-19,0.94,4873,7137,0.126,0.084,94,1301,399,902,0.00,0.00,0.00,0.38,0.02,0.59,0.00,-0.34,0.30,0.75,0.74
Makrani,19,Pakistan,Central/South Asia,4,20,5,25,5705,22,8588,233,3.74E-19,0.95,4115,7726,0.115,0.086,296,2782,211,2571,0.03,0.05,0.00,0.87,0.00,0.05,0.00,-0.24,0.30,0.74,0.76
Balochi,20,Pakistan,Central/South Asia,4,24,,24,5842,2,7927,256,1.00E-17,0.92,4557,8104,0.113,0.086,241,3707,138,3569,0.01,0.02,0.00,0.91,0.01,0.05,0.00,-0.18,0.29,0.74,0.75
Brahui,21,Pakistan,Central/South Asia,4,25,,25,5842,6,7948,252,7.00E-18,0.94,3864,6872,0.115,0.086,222,2343,302,2041,0.01,0.01,0.00,0.93,0.00,0.05,0.00,-0.14,0.30,0.74,0.76
Kalash,22,Pakistan,Central/South Asia,4,18,5,23,6254,19,2985,202,7.04E-12,0.65,2428,4439,0.136,0.098,160,2164,404,1760,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.29,0.76,0.72
Pathan,23,Pakistan,Central/South Asia,4,18,4,22,6179,36,8044,248,4.12E-18,0.93,4514,9452,0.108,0.087,169,2853,243,2610,0.00,0.00,0.00,0.84,0.06,0.10,0.00,-0.24,0.30,0.74,0.75
Sindhi,24,Pakistan,Central/South Asia,4,20,4,24,6202,42,8346,237,9.05E-19,0.93,4352,7332,0.106,0.087,184,2767,131,2636,0.02,0.00,0.00,0.91,0.06,0.01,0.00,-0.17,0.30,0.74,0.75
Burusho,25,Pakistan,Central/South Asia,4,20,5,25,6476,7,8076,241,2.32E-18,0.94,3606,7056,0.100,0.089,134,1767,427,1340,0.00,0.00,0.00,0.83,0.15,0.02,0.00,-0.22,0.30,0.75,0.75
Hazara,26,Pakistan,Central/South Asia,4,22,,22,6133,16,7851,318,6.70E-16,0.88,4013,6954,0.124,0.095,121,2036,357,1679,0.00,0.00,0.00,0.34,0.48,0.18,0.01,-0.46,0.30,0.75,0.74
Uygur,27,Northwestern China,East Asia,5,8,2,10,7072,47,6877,303,3.19E-15,0.84,4384,6624,0.138,0.102,0,1039,143,896,0.00,0.00,0.00,0.28,0.50,0.20,0.01,-0.47,0.30,0.75,0.72
Oroqen,28,China,East Asia,5,6,3,9,10294,33,4577,265,4.51E-13,0.74,2567,5887,0.164,0.113,0,540,0,540,0.00,0.00,0.00,0.00,0.98,0.00,0.02,-0.05,0.27,0.77,0.66
Hezhen,29,China,East Asia,5,5,4,9,10896,17,5259,330,1.91E-12,0.71,2010,4973,0.166,0.114,0,393,0,393,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-0.01,0.27,0.78,0.65
Daur,30,China,East Asia,5,7,2,9,10213,11,5835,299,4.89E-14,0.78,3367,6631,0.163,0.113,0,419,0,419,0.00,0.00,0.00,0.00,0.99,0.00,0.01,-0.02,0.28,0.77,0.66
Mongola,31,China,East Asia,5,7,3,10,9409,27,5844,317,1.41E-13,0.76,3128,5732,0.162,0.112,0,982,148,834,0.00,0.00,0.00,0.01,0.96,0.02,0.01,-0.09,0.28,0.77,0.68
Xibo,32,China,East Asia,5,8,1,9,7110,48,5907,303,5.06E-14,0.81,3765,5936,0.166,0.114,0,453,0,453,0.00,0.00,0.00,0.00,0.97,0.03,0.00,-0.07,0.28,0.77,0.68
Tu,33,China,East Asia,5,7,3,10,8868,44,6427,256,4.98E-16,0.87,2771,11128,0.169,0.114,0,961,176,785,0.00,0.00,0.00,0.02,0.97,0.01,0.00,-0.06,0.28,0.77,0.68
Japanese,34,Japan,East Asia,5,21,7,28,11762,18,7512,216,1.18E-18,0.93,3904,9867,0.155,0.113,163,2263,387,1876,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.27,0.78,0.70
Naxi,35,China,East Asia,5,6,2,8,9131,30,5375,268,3.09E-14,0.79,3677,6014,0.179,0.118,0,561,0,561,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.27,0.78,0.66
Yizu,36,China,East Asia,5,9,1,10,9329,50,5681,330,4.80E-13,0.79,3234,6407,0.171,0.116,0,934,114,820,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.27,0.77,0.68
Han_N,37,China,East Asia,5,8,2,10,,15.5,,,,,,6171,,,,,,,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.28,,
Han,38,China,East Asia,5,16,18,34,10133,15,9753,417,2.26E-09,0.96,5701,10256,0.150,0.110,278,2274,681,1593,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.27,0.78,0.70
Tujia,39,China,East Asia,5,9,1,10,9832,45,6217,248,5.00E-16,0.87,2525,11352,0.170,0.115,0,941,111,830,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.27,0.77,0.67
Miaozu,40,China,East Asia,5,7,3,10,9875,26,5630,338,8.67E-13,0.70,3356,8731,0.174,0.117,0,895,126,769,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.27,0.78,0.67
She,41,China,East Asia,5,7,3,10,10818,41,5499,370,6.54E-12,0.68,2497,6093,0.178,0.118,0,851,150,701,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.27,0.78,0.65
Dai,42,China,East Asia,5,7,3,10,9344,10,6070,237,3.46E-16,0.89,3328,8920,0.179,0.118,0,810,130,680,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.27,0.78,0.67
Lahu,43,China,East Asia,5,7,1,8,9300,21,4156,332,1.26E-10,0.70,2598,4077,0.196,0.124,0,532,0,532,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.27,0.78,0.64
Cambodian,44,Cambodia,East Asia,5,6,4,10,10261,8,6176,298,1.67E-14,0.80,3344,5433,0.180,0.119,0,892,114,778,0.00,0.00,0.01,0.07,0.92,0.00,0.00,-0.14,0.28,0.77,0.69
Yakut,45,Siberia,East Asia,5,18,7,25,9920,49,5266,175,1.65E-17,0.92,3819,8200,0.151,0.111,118,1658,419,1239,0.00,0.00,0.00,0.01,0.83,0.10,0.06,-0.26,0.28,0.77,0.70
Papuan,46,New Guinea,Oceania,6,13,4,17,14843,35,4718,321,8.09E-12,0.67,3811,5920,0.241,0.152,105,1197,220,977,0.00,0.00,0.99,0.00,0.01,0.00,0.00,-0.02,0.22,0.81,0.60
Melanesian,47,Bougainville,Oceania,6,4,7,11,16169,29,3945,277,1.36E-11,0.75,1347,4939,0.220,0.143,31,938,41,897,0.00,0.00,0.89,0.00,0.11,0.00,0.00,-0.15,0.24,0.80,0.60
Pima,48,Mexico,America,7,8,6,14,18016,37,2393,214,8.58E-10,0.68,585,2215,0.245,0.140,60,1031,95,936,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.23,0.81,0.59
Maya,49,Mexico,America,7,2,19,21,19826,24,4947,242,2.17E-14,0.86,3259,6374,0.198,0.128,106,1764,271,1493,0.00,0.00,0.00,0.00,0.02,0.05,0.93,-0.13,0.26,0.79,0.65
Colombian,50,Colombia,America,7,2,5,7,22857,9,3119,250,1.36E-10,0.67,2046,2500,0.256,0.137,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.99,-0.02,0.23,0.81,0.57
Karitiana,51,Brazil,America,7,5,8,13,24212,20,1041,128,1.25E-07,0.32,500,1240,0.287,0.147,33,667,320,347,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.21,0.84,0.52
Surui,52,Brazil,America,7,4,4,8,24368,43,419,110,0.001,0.21,922,1303,0.313,0.151,0,205,0,205,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.20,0.85,0.47